Przewidywania na tydzieñ: 21
Miasto	Produkt	Przewidziana Iloœæ Zamówieñ
Atlanta	20in Monitor	3.0	1.0	8.0	4.0	6.0	3.0	11.0	6.0	6.0	6.0	7.0	7.0	9.0	4.0	8.0	9.0	4.0	0	0	0	6.66
Atlanta	27in 4K Gaming Monitor	5.0	5.0	5.0	6.0	9.0	6.0	3.0	6.0	10.0	10.0	6.0	8.0	9.0	5.0	7.0	13.0	6.0	6.0	11.0	0	9.35
Atlanta	27in FHD Monitor	5.0	9.0	7.0	5.0	9.0	9.0	8.0	8.0	9.0	8.0	9.0	13.0	21.0	12.0	12.0	15.0	18.0	12.0	12.0	0	11.21
Atlanta	34in Ultrawide Monitor	9.0	5.0	2.0	7.0	11.0	5.0	10.0	11.0	6.0	15.0	12.0	10.0	11.0	11.0	9.0	8.0	11.0	5.0	6.0	0	4.77
Atlanta	AA Batteries (4-pack)	18.0	26.0	26.0	30.0	35.0	26.0	33.0	42.0	41.0	36.0	38.0	46.0	44.0	51.0	47.0	55.0	45.0	58.0	51.0	0	45.84
Atlanta	AAA Batteries (4-pack)	42.0	24.0	27.0	27.0	26.0	45.0	47.0	44.0	37.0	44.0	35.0	44.0	48.0	55.0	51.0	76.0	38.0	44.0	36.0	0	47.55
Atlanta	Apple Airpods Headphones	9.0	17.0	15.0	13.0	13.0	21.0	26.0	26.0	27.0	20.0	26.0	28.0	30.0	34.0	28.0	27.0	28.0	25.0	25.0	0	19.05
Atlanta	Bose SoundSport Headphones	18.0	13.0	11.0	16.0	17.0	19.0	15.0	14.0	16.0	23.0	20.0	18.0	22.0	29.0	25.0	25.0	23.0	20.0	21.0	0	17.15
Atlanta	Flatscreen TV	4.0	3.0	6.0	6.0	6.0	12.0	8.0	9.0	9.0	7.0	6.0	11.0	9.0	6.0	13.0	12.0	10.0	5.0	7.0	0	7.14
Atlanta	Google Phone	6.0	4.0	8.0	3.0	6.0	5.0	7.0	4.0	11.0	12.0	9.0	13.0	11.0	9.0	11.0	10.0	13.0	9.0	13.0	0	10.27
